Year,Units,Series,Type of unpaid work,Degree of urbanisation,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,Female,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,Female,,,,3.4
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,Female,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,Female,,,,3.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,Female,,,,4.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,Female,,,,4.1
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,Male,,,,2.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,Male,,,,2.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,Male,,,,1.0
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,Male,,,,1.0
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,Male,,,,1.8
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,Male,,,,1.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,Male,,,,2.1
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,Male,,,,2.5
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,Male,,,,2.5
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,Male,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,Male,,,,3.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,Male,,,,2.3
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,Male,,,,1.0
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,Male,,,,0.9
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,Male,,,,1.9
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,Male,,,,1.8
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,Male,,,,2.4
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,Male,,,,2.8
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,Male,,,,2.8
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,Male,,,,3.1
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,Male,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,,,,,,0.3
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,,,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,,,,,,0.3
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,,,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,,,,,,0.3
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,,,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,15 years and older,,,,,0.3
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,15 years and older,,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,,,,,0.8
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,,,,,1.1
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,55 to under 65 years,,,,,0.1
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,,Female,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,,Female,,,,0.5
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,,Male,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,,Male,,,,0.3
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,,Female,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,,Female,,,,0.5
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,,Female,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,,Female,,,,0.5
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,15 years and older,Female,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,15 years and older,Female,,,,0.6
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,Female,,,,1.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,Female,,,,1.5
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,Female,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,Female,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,55 to under 65 years,Female,,,,0.1
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,,Male,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,,Male,,,,0.3
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,,Male,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,,Male,,,,0.2
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,15 years and older,Male,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,15 years and older,Male,,,,0.3
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,Male,,,,0.5
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,Male,,,,0.7
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,Male,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,Male,,,,0.3
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,,55 to under 65 years,Male,,,,0.1
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,,55 to under 65 years,Male,,,,0.1
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,,,,,0.3
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,,,,,0.8
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,,,,,1.1
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,,,,,0.3
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,,,,,0.8
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,,,,,1.0
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,45 to under 55 years,,,,,0.3
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,Female,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,Female,,,,0.6
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,Female,,,,1.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,Female,,,,1.5
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,Female,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,Female,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,Female,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,Female,,,,0.5
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,Female,,,,1.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,Female,,,,1.5
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,45 to under 55 years,Female,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,45 to under 55 years,Female,,,,0.4
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,Male,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,Male,,,,0.3
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,Male,,,,0.5
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,Male,,,,0.7
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,Male,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,Male,,,,0.3
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,Male,,,,0.2
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,Male,,,,0.3
2013,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,Male,,,,0.4
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,Male,,,,0.5
2022,Houres per day,Time spent on unpaid domestic and care work,Care work,Rural areas,45 to under 55 years,Male,,,,0.3
