Year,Units,Series,Type of unpaid work,Degree of urbanisation,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,,,,,13.2
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,,,,,13.4
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,,,,,13.6
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,,,,,14.0
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,,,,,15.4
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,,,,,16.2
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,15 years and older,Female,,,,15.7
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,15 years and older,Female,,,,15.7
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,Female,,,,6.9
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,Female,,,,7.3
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,Female,,,,17.5
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,Female,,,,17.7
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,Female,,,,15.7
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,Female,,,,15.6
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,Female,,,,16.1
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,Female,,,,15.3
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,65 years and older,Female,,,,17.5
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,65 years and older,Female,,,,16.4
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,Female,,,,16.0
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,Female,,,,15.9
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,Female,,,,6.5
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,Female,,,,6.2
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,Female,,,,19.3
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,Female,,,,17.5
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,Female,,,,16.1
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,Female,,,,15.8
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,Female,,,,15.4
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,Female,,,,15.8
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,Female,,,,17.6
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,Female,,,,17.4
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,15 years and older,Male,,,,9.9
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,15 years and older,Male,,,,10.5
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,Male,,,,4.1
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,Male,,,,4.4
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,Male,,,,9.4
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,Male,,,,10.2
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,Male,,,,10.2
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,Male,,,,10.2
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,Male,,,,10.7
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,Male,,,,10.6
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,65 years and older,Male,,,,13.7
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,65 years and older,Male,,,,13.7
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,Male,,,,10.1
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,Male,,,,10.8
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,Male,,,,4.3
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,Male,,,,3.8
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,Male,,,,9.8
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,Male,,,,9.9
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,Male,,,,10.2
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,Male,,,,11.0
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,Male,,,,11.9
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,Male,,,,12.2
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,Male,,,,13.2
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,Male,,,,14.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,,,,,,11.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,,,,,,10.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,,,,,,11.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,,,,,,10.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,,,,,11.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,,,,,11.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,,,,,11.6
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,,,,,11.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,,,,,5.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,,,,,5.4
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,,,,,10.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,,,,,9.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,,,,,12.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,,,,,11.5
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,,,,,13.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,,,,,12.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,,,,,15.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,,,,,15.1
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,,Female,,,,13.6
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,,Female,,,,12.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,,Male,,,,8.8
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,,Male,,,,9.0
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,,Female,,,,13.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,,Female,,,,12.8
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,Female,,,,13.9
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,Female,,,,13.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,Female,,,,14.0
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,Female,,,,13.4
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,Female,,,,6.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,Female,,,,6.7
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,Female,,,,12.9
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,Female,,,,11.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,Female,,,,14.9
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,Female,,,,14.0
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,Female,,,,15.7
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,Female,,,,15.2
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,Female,,,,17.3
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,Female,,,,16.5
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,,Male,,,,8.8
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,,Male,,,,8.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,Male,,,,9.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,Male,,,,9.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,Male,,,,9.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,Male,,,,9.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,Male,,,,4.0
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,Male,,,,4.1
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,Male,,,,7.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,Male,,,,7.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,Male,,,,9.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,Male,,,,9.0
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,Male,,,,10.6
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,Male,,,,10.6
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,Male,,,,13.4
