Year,Units,Series,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,,,,,13.2
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,,,,,15.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,,,,,15.3
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,Weiblich,,,,15.2
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,Weiblich,,,,15.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,Männlich,,,,9.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,Männlich,,,,10.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,Weiblich,,,,15.1
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,Weiblich,,,,15.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,Weiblich,,,,15.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,Weiblich,,,,15.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,Weiblich,,,,15.7
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,Weiblich,,,,15.7
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,Weiblich,,,,6.8
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,Weiblich,,,,7.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,Weiblich,,,,17.8
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,Weiblich,,,,17.6
