Year,educational level,type of ict skill,subject,age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,72.0
2016,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,72.0
2017,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,73.0
2018,,copying or moving of files and folders,,25 to under 65 years,.,,,population with computer-related activities,
2019,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,75.0
2011,,using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,population with computer-related activities,74.0
2012,,using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,population with computer-related activities,69.0
2014,,using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,population with computer-related activities,77.0
2010,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2011,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2012,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2013,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2014,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2015,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,6.0
2016,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,5.0
2017,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,5.0
2018,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2019,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,5.0
2020,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2021,,writing code in a programming language,,25 to under 65 years,|,,,population with computer-related activities,4.5
2022,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2023,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,5.8
2024,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2025,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,6.4
2011,,"connecting and installing new devices, eg a printer or a modem",,25 to under 65 years,,,,population with computer-related activities,47.0
2012,,"connecting and installing new devices, eg a printer or a modem",,25 to under 65 years,,,,population with computer-related activities,48.0
2014,,"connecting and installing new devices, eg a printer or a modem",,25 to under 65 years,,,,population with computer-related activities,53.0
2010,,transferring files between computer and other devices,,25 to under 65 years,.,,,population with computer-related activities,
2011,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,63.0
2012,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,61.0
2013,,transferring files between computer and other devices,,25 to under 65 years,.,,,population with computer-related activities,
2014,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,68.0
2015,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,63.0
2016,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,65.0
2017,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,66.0
2018,,transferring files between computer and other devices,,25 to under 65 years,.,,,population with computer-related activities,
2019,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,69.0
2020,,transferring files between computer and other devices,,25 to under 65 years,.,,,population with computer-related activities,
2021,,transferring files between computer and other devices,,25 to under 65 years,|,,,population with computer-related activities,54.7
2022,,transferring files between computer and other devices,,25 to under 65 years,.,,,population with computer-related activities,
2023,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,62.3
2024,,transferring files between computer and other devices,,25 to under 65 years,.,,,population with computer-related activities,
2025,,transferring files between computer and other devices,,25 to under 65 years,,,,population with computer-related activities,63.4
2010,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2011,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2012,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2013,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2014,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2015,,installing software or apps,,25 to under 65 years,,,,population with computer-related activities,63.0
2016,,installing software or apps,,25 to under 65 years,,,,population with computer-related activities,66.0
2017,,installing software or apps,,25 to under 65 years,,,,population with computer-related activities,65.0
2018,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2019,,installing software or apps,,25 to under 65 years,,,,population with computer-related activities,72.0
2020,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2021,,installing software or apps,,25 to under 65 years,|,,,population with computer-related activities,45.9
2022,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2023,,installing software or apps,,25 to under 65 years,,,,population with computer-related activities,55.3
