Year,Educational level,Type of ICT skill,Subject,Age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2023,,Installing software or apps,,16 to under 25 years,,,,Population with computer-related activities,66.2
2024,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2025,,Installing software or apps,,16 to under 25 years,,,,Population with computer-related activities,66.1
2010,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2011,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,Population with computer-related activities,67.0
2012,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,Population with computer-related activities,57.0
2013,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2014,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,Population with computer-related activities,67.0
2015,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2016,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2017,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2018,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2019,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2020,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2021,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,Population with computer-related activities,47.1
2022,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2023,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,Population with computer-related activities,44.0
2024,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,Population with computer-related activities,
2025,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,Population with computer-related activities,44.1
2010,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2011,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2012,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2013,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2014,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2015,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,Population with computer-related activities,35.0
2016,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,Population with computer-related activities,34.0
2017,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,Population with computer-related activities,36.0
2018,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2019,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,Population with computer-related activities,34.0
2020,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2021,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,|,,,Population with computer-related activities,33.2
2022,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2023,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,Population with computer-related activities,29.8
