Year,Series,Units,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1754.0
2018,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1762.0
2019,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1702.0
2020,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1685.0
2021,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1735.0
2022,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1776.0
2023,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1713.0
2024,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1713.0
2010,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3456.0
2011,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3440.0
2012,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3292.0
2013,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3257.0
2014,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3152.0
2015,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3202.0
2016,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3159.0
2017,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3010.0
2018,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3037.0
2019,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,2946.0
2020,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,2953.0
2021,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3078.0
2022,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,3077.0
2023,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,2985.0
2024,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Male,,,,2912.0
2010,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3853.0
2011,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3849.0
2012,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3706.0
2013,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3710.0
2014,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3576.0
2015,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3657.0
2016,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3610.0
2017,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3483.0
2018,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3515.0
2019,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3402.0
