Year,Series,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Je 100 000 Einwohnerinnen,r,,,10.57
2022,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Je 100 000 Einwohnerinnen,r,,,11.73
2023,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Je 100 000 Einwohnerinnen,r,,,12.37
2024,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Je 100 000 Einwohnerinnen,,,,13.64
2010,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,.,,,
2011,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,.,,,
2012,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,.,,,
2013,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,.,,,
2014,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,.,,,
2015,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,.,,,
2016,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,.,,,
2017,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,.,,,
2018,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,,,,0.01
2019,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,,,,0.01
2020,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,,,,0.01
2021,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,,,,0.01
2022,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,,,,0.01
2023,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,,,,0.01
2024,"Frauen und Mädchen, die sexuelle Gewalt durch einen Intimpartner erfahren haben",Prozent,,,,0.01
