Year,Bildungsstand,Art der IKT-Kompetenz,Schulfach,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2012,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,88.0
2013,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,91.0
2015,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,86.0
2016,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,85.0
2017,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,83.0
2018,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,80.0
2020,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,|,,,Bevölkerung mit computerbezogenen Aktivitäten,68.2
2022,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,72.0
2024,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,67.4
2010,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2012,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2013,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2015,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,87.0
2016,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,89.0
2017,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,86.0
2018,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,88.0
2020,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,|,,,Bevölkerung mit computerbezogenen Aktivitäten,58.5
2022,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,66.2
2024,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,Installation von Software oder Anwendungen (Apps),,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,66.1
2010,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,67.0
2012,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,57.0
2013,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,67.0
2015,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2016,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2017,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2018,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2020,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,47.1
2022,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
